"NAME","STREET","POST_CODE","CITY","LONGITUDE","LATITUDE","HUMIDITY_AVG","PRESSURE_AVG","TEMPERATURE_AVG","PM10_AVG","PM25_AVG","TIMESTAMP"
"SZKO?A PODSTAWOWA NR 117 IM. KRAKOWSKIEJ KONGREGACJI KUPIECKIEJ W KRAKOWIE","UL. JANA KURCZABA","30-868","KRAK?W-PODG?RZE","20.006872057670375","50.01317838097981","71.125","963.9499999999999","13.799999999999999","3.658333333333333","3.391666666666667","2023-11-03 09:00:00.0"
"Zesp?? Szk?? Og?lnokszta?c?cych i Zawodowych im. mjra H. Sucharskiego w Boles?awcu","Komuny Paryskiej","59-700","Boles?awiec","15.563553","51.259736","","","","11.566666666666668","8.6","2023-11-03 09:00:00.0"
"TECHNIKUM W ZESPOLE SZK?? W DOWSPUDZIE","","16-420","DOWSPUDA","22.802537","53.978353","73.60000000000001","979.1083333333332","7.941666666666666","6.05","4.591666666666667","2023-11-03 09:00:00.0"
"SZKO?A PODSTAWOWA NR 1 IM. MARII KONOPNICKIEJ W ZESPOLE SZK?? OG?LNOKSZTA?C?CYCH NR 1 IM. MARII KONOPNICKIEJ W PRUSZCZU GDA?SKIM","NIEMCEWICZA","83-000","PRUSZCZ GDA?SKI","18.650575","54.261512","76.86666666666666","995.3333333333334","13.1","3.966666666666667","2.2433333333333336","2023-11-03 09:00:00.0"
"PUBLICZNA SZKO?A PODSTAWOWA NR 3 IM. W?ADYS?AWA SIKORSKIEGO W ZDZIESZOWICACH","UL. NOWA","47-330","ZDZIESZOWICE","18.12477","50.42422","87.50909090909092","967.1454545454545","12.827272727272726","2.3272727272727276","2.0636363636363635","2023-11-03 09:00:00.0"
"SPO?ECZNA SZKO?A PODSTAWOWA NR 1 IM. KS.PROF. J?ZEFA TISCHNERA W TARNOWIE","UL. GUMNISKA","33-100","TARN?W","21.00131621","50.00814381","70.06666666666666","969.6333333333333","12.541666666666666","3.8000000000000003","3.4166666666666665","2023-11-03 09:00:00.0"
"SZKO?A PODSTAWOWA IM. JANA PAW?A II W NAPIWODZIE","","13-100","Napiwoda","20.48185217","53.40835022","68.39999999999999","973.5416666666666","11.333333333333334","6.108333333333333","5.408333333333334","2023-11-03 09:00:00.0"
"SZKO?A PODSTAWOWA NR 1 IM. ADAMA MICKIEWICZA W PO?CZYNIE-ZDROJU","UL. GRUNWALDZKA","78-320","PO?CZYN-ZDR?J","16.095199000000004","53.767893339499636","86.8","977.5454545454545","10.927272727272728","28.88181818181818","30.59090909090909","2023-11-03 09:00:00.0"
"SZKO?A PODSTAWOWA W DARGINI","","76-020","DARGI?","16.3943428","54.0157172","88.60833333333333","976.1","11.533333333333333","4.9750000000000005","4.425","2023-11-03 09:00:00.0"
"SZKO?A PODSTAWOWA NR 10 IM. MARII SK?ODOWSKIEJ-CURIE W ZDU?SKIEJ WOLI","UL. ZIELONA","98-220","ZDU?SKA WOLA","18.95037552","51.60020179","77.76","969.3","12.85","15.819999999999999","13.919999999999998","2023-11-03 09:00:00.0"
"ARCHIDIECEZJALNA SZKO?A MUZYCZNA II ST. IM. KS. KARD. FRANCISZKA MACHARSKIEGO W KRAKOWIE","UL. PROSTA","30-814","KRAK?W-PODG?RZE","19.988467","50.020869","58.78333333333333","966.125","17.191666666666666","4.358333333333333","3.5666666666666664","2023-11-03 09:00:00.0"
"SZKO?A PODSTAWOWA NR 10 IM. MIKO?AJA KOPERNIKA W G?OGOWIE","UL. ANDROMEDY","67-200","G?OG?W","16.0628868","51.6534984","86.01818181818182","975.8727272727273","10.654545454545454","6.081818181818182","5.345454545454545","2023-11-03 09:00:00.0"
"SZKO?A PODSTAWOWA IM. TADEUSZA MAZOWIECKIEGO W TY?CU MA?YM","SZKOLNA","55-040","TYNIEC MA?Y","16.909195","51.021600","99.90000000000002","969.2666666666668","12.1","4.233333333333333","2.436666666666667","2023-11-03 09:00:00.0"
"SZKO?A PODSTAWOWA IM.KR?LA KAZIMIERZA WIELKIEGO W BINAROWEJ","","38-340","BINAROWA","21.2269249","49.7554945","65.425","962.9916666666667","12.049999999999999","4.116666666666666","4.083333333333333","2023-11-03 09:00:00.0"
"TECHNIKUM W ZESPOLE SZK?? IM. BOHATER?W WESTERPLATTE W JAB?ONCE","UL. PODHALA?SKA","34-480","JAB?ONKA","19.69526927","49.47987225","71.85000000000001","921.0083333333333","11.258333333333333","8.55","8.091666666666667","2023-11-03 09:00:00.0"
"SZKO?A PODSTAWOWA NR 9 W LEGNICY","UL. MARYNARSKA","59-220","LEGNICA","16.141123","51.202816","86.81666666666666","973.8833333333333","11.475","12.475","10.208333333333334","2023-11-03 09:00:00.0"
